iter	Passed	Remaining
550	9169	7472
551	9185	7455
552	9203	7439
553	9219	7422
554	9235	7405
555	9251	7388
556	9266	7370
557	9281	7352
558	9297	7334
559	9313	7317
560	9330	7301
561	9346	7284
562	9362	7267
563	9378	7249
564	9394	7232
565	9411	7216
566	9426	7198
567	9441	7180
568	9457	7163
569	9472	7145
570	9487	7128
571	9505	7112
572	9521	7095
573	9537	7078
574	9554	7061
575	9570	7044
576	9585	7027
577	9601	7010
578	9618	6993
579	9635	6977
580	9650	6959
581	9668	6943
582	9684	6926
583	9698	6908
584	9715	6892
585	9730	6874
586	9747	6858
587	9763	6841
588	9779	6823
589	9794	6806
590	9809	6788
591	9824	6770
592	9839	6753
593	9856	6737
594	9873	6720
595	9888	6703
596	9904	6685
597	9919	6668
598	9933	6650
599	9951	6634
600	9966	6616
601	9981	6599
602	9997	6581
603	10013	6565
604	10031	6549
605	10048	6533
606	10065	6516
607	10081	6500
608	10098	6483
609	10115	6467
610	10131	6450
611	10147	6433
612	10163	6416
613	10178	6399
614	10195	6382
615	10212	6366
616	10229	6349
617	10244	6332
618	10261	6316
619	10278	6299
620	10294	6282
621	10310	6265
622	10327	6249
623	10343	6232
624	10358	6215
625	10374	6198
626	10390	6181
627	10406	6164
628	10422	6147
629	10439	6131
630	10455	6114
631	10470	6096
632	10487	6080
633	10503	6063
634	10520	6047
635	10536	6030
636	10552	6013
637	10568	5996
638	10585	5980
639	10602	5963
640	10618	5946
641	10633	5929
642	10649	5912
643	10664	5895
644	10679	5878
645	10696	5861
646	10713	5845
647	10730	5828
648	10744	5811
649	10758	5793
650	10774	5776
651	10790	5759
652	10806	5742
653	10822	5725
654	10838	5708
655	10854	5691
656	10869	5674
657	10885	5657
658	10901	5640
659	10918	5624
660	10934	5608
661	10951	5591
662	10968	5575
663	10985	5558
664	11001	5542
665	11016	5524
666	11033	5508
667	11048	5491
668	11063	5473
669	11079	5457
670	11095	5440
671	11112	5423
672	11129	5407
673	11145	5390
674	11161	5374
675	11177	5357
676	11192	5340
677	11209	5323
678	11225	5306
679	11240	5289
680	11255	5272
681	11271	5255
682	11285	5238
683	11301	5221
684	11317	5204
685	11334	5187
686	11350	5171
687	11368	5155
688	11384	5138
689	11401	5122
690	11417	5105
691	11433	5088
692	11450	5072
693	11467	5056
694	11482	5038
695	11498	5022
696	11516	5006
697	11531	4989
698	11546	4972
699	11564	4956
700	11580	4939
701	11595	4922
702	11611	4905
703	11628	4889
704	11643	4872
705	11660	4855
706	11677	4839
707	11693	4822
708	11709	4806
709	11725	4789
710	11740	4772
711	11757	4755
712	11774	4739
713	11791	4723
714	11806	4706
715	11822	4689
716	11838	4672
717	11854	4655
718	11870	4639
719	11885	4622
720	11902	4605
721	11917	4588
722	11932	4571
723	11947	4554
724	11965	4538
725	11980	4521
726	11997	4505
727	12013	4488
728	12030	4472
729	12046	4455
730	12062	4438
731	12078	4422
732	12094	4405
733	12110	4388
734	12127	4372
735	12141	4355
736	12158	4338
737	12176	4322
738	12191	4305
739	12208	4289
740	12223	4272
741	12239	4255
742	12255	4238
743	12271	4222
744	12286	4205
745	12302	4188
746	12318	4172
747	12333	4155
748	12348	4138
749	12365	4121
750	12381	4105
751	12396	4088
752	12410	4070
753	12428	4054
754	12443	4038
755	12459	4021
756	12475	4004
757	12490	3987
758	12507	3971
759	12523	3954
760	12540	3938
761	12557	3922
762	12572	3905
763	12588	3888
764	12604	3871
765	12619	3855
766	12635	3838
767	12653	3822
768	12669	3805
769	12685	3789
770	12702	3772
771	12718	3756
772	12734	3739
773	12751	3723
774	12766	3706
775	12782	3689
776	12799	3673
777	12816	3657
778	12832	3640
779	12849	3624
780	12865	3607
781	12883	3591
782	12897	3574
783	12912	3557
784	12927	3540
785	12944	3524
786	12960	3507
787	12976	3491
788	12992	3474
789	13009	3458
790	13025	3441
791	13041	3425
792	13056	3408
793	13073	3391
794	13088	3375
795	13104	3358
796	13118	3341
797	13134	3324
798	13151	3308
799	13167	3291
800	13184	3275
801	13201	3259
802	13218	3242
803	13233	3226
804	13250	3209
805	13267	3193
806	13283	3176
807	13299	3160
808	13315	3143
809	13330	3127
810	13346	3110
811	13363	3093
812	13379	3077
813	13396	3061
814	13413	3044
815	13430	3028
816	13445	3011
817	13461	2995
818	13478	2978
819	13496	2962
