iter	RMSE
856	38.54574235
857	38.54536301
858	38.54483888
859	38.54432168
860	38.54378355
861	38.54344803
862	38.54271082
863	38.54228827
864	38.54178974
865	38.54139721
866	38.54091346
867	38.54049985
868	38.539969
869	38.53944022
870	38.53891202
871	38.53850711
872	38.53778066
873	38.53724654
874	38.53668855
875	38.53613949
876	38.53570313
877	38.53528569
878	38.53483671
879	38.53437272
880	38.53388055
881	38.53343658
882	38.53303562
883	38.53244618
884	38.53177997
885	38.53145499
886	38.53103291
887	38.5306425
888	38.53018469
889	38.52980957
890	38.52947435
891	38.52917343
892	38.52872289
893	38.5281967
894	38.52788966
895	38.52741077
896	38.52701677
897	38.52655378
898	38.52591857
899	38.52548427
900	38.52493241
901	38.52453581
902	38.52406208
903	38.52362669
904	38.52309086
905	38.5225976
906	38.52208194
907	38.52161684
908	38.52099894
909	38.52053724
910	38.52009189
911	38.51953106
912	38.51898401
913	38.51841292
914	38.51789762
915	38.51740008
916	38.51691753
917	38.51646264
918	38.51602728
919	38.51555328
920	38.51514221
921	38.51468914
922	38.51429976
923	38.51371606
924	38.5132097
925	38.51287807
926	38.5123249
927	38.51189661
928	38.51130817
929	38.5110187
930	38.5107128
931	38.51023111
932	38.50954296
933	38.50882209
934	38.50815672
935	38.50764351
936	38.50709876
937	38.5065066
938	38.50614569
939	38.50571994
940	38.50537585
941	38.50489963
942	38.50437975
943	38.50394428
944	38.50340671
945	38.50307971
946	38.5026568
947	38.50217625
948	38.50175496
949	38.50128572
950	38.5009126
951	38.50047179
952	38.50007775
953	38.49971454
954	38.49923968
955	38.49881081
956	38.49836387
957	38.49778745
958	38.49732776
959	38.49693894
960	38.49633667
961	38.4959957
962	38.49544757
963	38.49499223
964	38.49458371
965	38.49414711
966	38.49369655
967	38.49336293
968	38.49286945
969	38.49249188
970	38.49216554
971	38.49168754
972	38.49130287
973	38.49073404
974	38.49042652
975	38.4899385
976	38.48955988
977	38.48902277
978	38.4886991
979	38.4881507
980	38.48783462
981	38.48740085
982	38.48696112
983	38.48654717
984	38.48613385
985	38.48569916
986	38.4852887
987	38.48500802
988	38.4846586
989	38.4842498
990	38.48380925
991	38.48347117
992	38.4831328
993	38.48256092
994	38.48211413
995	38.48163945
996	38.48126341
997	38.48097383
998	38.48051572
999	38.48012666
